task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	a3/fbe329	196485745	VCF2MAF_GERMLINE_WORKING (2)	COMPLETED	0	2025-07-18 14:29:20.409	28.2s	10.6s	36.8%	167.8 MB	214.6 MB	116.6 MB	1.6 MB
4	b7/17f73e	196485748	VCF2MAF_GERMLINE_WORKING (3)	COMPLETED	0	2025-07-18 14:29:20.816	27.8s	9.9s	38.2%	146.3 MB	192.6 MB	115.3 MB	1.6 MB
7	3b/6ae278	196485746	VCF2MAF_GERMLINE_WORKING (4)	COMPLETED	0	2025-07-18 14:29:20.530	28.1s	10.1s	39.1%	179.1 MB	227.7 MB	117.3 MB	1.7 MB
9	dd/8ddcd5	196485749	VCF2MAF_GERMLINE_WORKING (5)	COMPLETED	0	2025-07-18 14:29:20.921	27.7s	10.8s	41.9%	192.9 MB	239.4 MB	137.2 MB	1.8 MB
2	fe/20b7c8	196485743	VCF2MAF_GERMLINE_WORKING (1)	COMPLETED	0	2025-07-18 14:29:20.142	28.4s	10.3s	42.0%	169.8 MB	216.5 MB	124.9 MB	1.7 MB
6	05/469dc4	196485747	VCF2MAF_SOMATIC_WORKING (3)	COMPLETED	0	2025-07-18 14:29:20.713	57.8s	40.6s	45.5%	635.1 MB	682.1 MB	647.1 MB	4.4 MB
5	06/8a278c	196485744	VCF2MAF_SOMATIC_WORKING (2)	COMPLETED	0	2025-07-18 14:29:20.302	58.1s	52s	60.5%	762.7 MB	810.4 MB	1.1 GB	6.8 MB
8	3a/873e0b	196485750	VCF2MAF_SOMATIC_WORKING (4)	COMPLETED	0	2025-07-18 14:29:21.020	57.5s	41.4s	47.7%	478.1 MB	528.5 MB	694.1 MB	4.7 MB
13	b1/1584a5	196485761	VCF2MAF_GERMLINE_WORKING (8)	COMPLETED	0	2025-07-18 14:29:49.301	29.3s	7.5s	57.2%	167 MB	216.8 MB	128.5 MB	1.6 MB
10	e7/b689c9	196485762	VCF2MAF_GERMLINE_WORKING (6)	COMPLETED	0	2025-07-18 14:29:49.383	29.2s	8.2s	62.6%	162.2 MB	207.8 MB	130.3 MB	1.6 MB
12	50/5e4f43	196485759	VCF2MAF_GERMLINE_WORKING (7)	COMPLETED	0	2025-07-18 14:29:48.919	29.6s	7.9s	52.9%	161.9 MB	210.7 MB	127.5 MB	1.6 MB
15	fb/b2cfb5	196485763	VCF2MAF_SOMATIC_WORKING (7)	COMPLETED	0	2025-07-18 14:29:49.458	29.1s	20s	71.1%	356 MB	401.3 MB	391.7 MB	3.1 MB
11	e0/0b8220	196485751	VCF2MAF_SOMATIC_WORKING (5)	COMPLETED	0	2025-07-18 14:29:21.142	57.4s	50s	57.5%	777.7 MB	826.7 MB	943.3 MB	6.4 MB
14	6b/6262b0	196485760	VCF2MAF_SOMATIC_WORKING (6)	COMPLETED	0	2025-07-18 14:29:49.203	59.3s	29.2s	72.3%	557.7 MB	607.1 MB	718.8 MB	5 MB
1	49/efa4b5	196485742	VCF2MAF_SOMATIC_WORKING (1)	COMPLETED	0	2025-07-18 14:29:19.848	1m 29s	1m 20s	70.0%	1.2 GB	1.2 GB	1.7 GB	13.7 MB
16	4f/1ebc1c	196485771	VCF2MAF_GERMLINE_WORKING (9)	COMPLETED	0	2025-07-18 14:30:18.735	29.7s	5.8s	76.9%	145.7 MB	192.1 MB	115.6 MB	1.6 MB
18	08/05ec6b	196485772	VCF2MAF_GERMLINE_WORKING (10)	COMPLETED	0	2025-07-18 14:30:18.818	29.7s	6.9s	59.8%	161.2 MB	209.6 MB	131.3 MB	1.7 MB
21	6c/23e284	196485774	VCF2MAF_GERMLINE_WORKING (12)	COMPLETED	0	2025-07-18 14:30:19.309	29.2s	7s	54.7%	144.7 MB	191.1 MB	100.8 MB	1.6 MB
22	06/f22715	196485775	VCF2MAF_GERMLINE_WORKING (13)	COMPLETED	0	2025-07-18 14:30:19.402	29.1s	5.9s	67.0%	169.7 MB	217.4 MB	117.5 MB	1.6 MB
19	df/f80d50	196485777	VCF2MAF_GERMLINE_WORKING (11)	COMPLETED	0	2025-07-18 14:30:19.562	29s	4.3s	77.3%	145.2 MB	194.1 MB	107.1 MB	1.5 MB
20	a6/fafdf4	196485776	VCF2MAF_SOMATIC_WORKING (9)	COMPLETED	0	2025-07-18 14:30:19.482	29s	15.3s	74.5%	389.5 MB	437.9 MB	414.8 MB	3.2 MB
23	3f/80a635	196485778	VCF2MAF_SOMATIC_WORKING (10)	COMPLETED	0	2025-07-18 14:30:19.641	58.8s	38.4s	77.3%	731.6 MB	778.1 MB	992.8 MB	6.5 MB
27	49/b0e890	196485782	VCF2MAF_SOMATIC_WORKING (12)	COMPLETED	0	2025-07-18 14:30:48.752	29.7s	25.7s	75.1%	358.9 MB	404.4 MB	492.7 MB	3.4 MB
25	ec/1457c1	196485784	VCF2MAF_GERMLINE_WORKING (14)	COMPLETED	0	2025-07-18 14:30:48.945	29.6s	6.3s	77.2%	211.4 MB	258.7 MB	151.3 MB	1.8 MB
30	e3/0b9b3c	196485786	VCF2MAF_SOMATIC_WORKING (14)	COMPLETED	0	2025-07-18 14:30:49.166	29.4s	19.7s	72.9%	402 MB	450.3 MB	495.4 MB	3.6 MB
26	43/128673	196485788	VCF2MAF_GERMLINE_WORKING (15)	COMPLETED	0	2025-07-18 14:30:49.450	29.1s	6.4s	61.6%	142.3 MB	188.5 MB	115 MB	1.6 MB
29	31/5022f9	196485785	VCF2MAF_SOMATIC_WORKING (13)	COMPLETED	0	2025-07-18 14:30:49.036	59.4s	28.8s	74.9%	523.7 MB	571.3 MB	702.6 MB	4.7 MB
24	64/30d576	196485783	VCF2MAF_SOMATIC_WORKING (11)	COMPLETED	0	2025-07-18 14:30:48.839	59.6s	32.1s	82.1%	715.3 MB	762.1 MB	886.4 MB	5.6 MB
31	6e/56da15	196485789	VCF2MAF_SOMATIC_WORKING (15)	COMPLETED	0	2025-07-18 14:30:49.531	59s	31.2s	81.8%	713.3 MB	759.8 MB	883.8 MB	5.7 MB
28	94/a0a995	196485801	VCF2MAF_GERMLINE_WORKING (16)	COMPLETED	0	2025-07-18 14:31:18.767	29.7s	4.3s	77.4%	126 MB	174.6 MB	101 MB	1.6 MB
